home_team,game_date,events,hit_location,bb_type,launch_speed,launch_angle,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,babip_value,iso_value
ATL,2023-05-20,50,"{2: 27, 9: 10, 7: 2, 8: 2, 4: 1}","{'line_drive': 12, 'ground_ball': 3, 'fly_ball': 2}","{Interval(100.0, 110.0, closed='right'): 8, Interval(90.0, 100.0, closed='right'): 4, Interval(80.0, 90.0, closed='right'): 3, Interval(0.0, 80.0, closed='right'): 1, Interval(110.0, inf, closed='right'): 1}","{Interval(0.0, 15.0, closed='right'): 11, Interval(15.0, 45.0, closed='right'): 5, Interval(-15.0, 0.0, closed='right'): 1, Interval(-90.0, -15.0, closed='right'): 0, Interval(45.0, inf, closed='right'): 0}",0.6625882352941176,0.33530836,22.05,15,7
ATL,2023-05-21,31,"{2: 19, 5: 2, 7: 2, 9: 2, 8: 1}","{'fly_ball': 4, 'ground_ball': 3, 'line_drive': 3}","{Interval(100.0, 110.0, closed='right'): 7, Interval(0.0, 80.0, closed='right'): 1, Interval(80.0, 90.0, closed='right'): 1, Interval(90.0, 100.0, closed='right'): 1, Interval(110.0, inf, closed='right'): 0}","{Interval(15.0, 45.0, closed='right'): 5, Interval(0.0, 15.0, closed='right'): 4, Interval(-90.0, -15.0, closed='right'): 1, Interval(-15.0, 0.0, closed='right'): 0, Interval(45.0, inf, closed='right'): 0}",0.6348,0.31602600000000003,14.05,7,10
ATL,2023-05-22,45,"{2: 16, 9: 6, 8: 6, 7: 5}","{'line_drive': 11, 'ground_ball': 6, 'fly_ball': 4}","{Interval(100.0, 110.0, closed='right'): 8, Interval(90.0, 100.0, closed='right'): 7, Interval(0.0, 80.0, closed='right'): 3, Interval(110.0, inf, closed='right'): 2, Interval(80.0, 90.0, closed='right'): 1}","{Interval(0.0, 15.0, closed='right'): 11, Interval(15.0, 45.0, closed='right'): 9, Interval(-15.0, 0.0, closed='right'): 1, Interval(-90.0, -15.0, closed='right'): 0, Interval(45.0, inf, closed='right'): 0}",0.7159047619047618,0.5062049777777777,31.35,17,19
ATL,2023-05-23,42,"{2: 22, 7: 5, 9: 4, 8: 3}","{'line_drive': 7, 'ground_ball': 4, 'fly_ball': 3}","{Interval(100.0, 110.0, closed='right'): 6, Interval(90.0, 100.0, closed='right'): 4, Interval(80.0, 90.0, closed='right'): 3, Interval(110.0, inf, closed='right'): 1, Interval(0.0, 80.0, closed='right'): 0}","{Interval(0.0, 15.0, closed='right'): 8, Interval(15.0, 45.0, closed='right'): 5, Interval(-15.0, 0.0, closed='right'): 1, Interval(-90.0, -15.0, closed='right'): 0, Interval(45.0, inf, closed='right'): 0}",0.5785714285714285,0.32610519047619047,20.4,12,10
ATL,2023-05-24,35,"{2: 14, 7: 6, 8: 3, 9: 3, 6: 1}","{'line_drive': 7, 'fly_ball': 5, 'ground_ball': 5}","{Interval(90.0, 100.0, closed='right'): 5, Interval(100.0, 110.0, closed='right'): 4, Interval(0.0, 80.0, closed='right'): 3, Interval(80.0, 90.0, closed='right'): 3, Interval(110.0, inf, closed='right'): 2}","{Interval(15.0, 45.0, closed='right'): 8, Interval(0.0, 15.0, closed='right'): 7, Interval(-90.0, -15.0, closed='right'): 1, Interval(-15.0, 0.0, closed='right'): 1, Interval(45.0, inf, closed='right'): 0}",0.6564705882352941,0.4701032,22.8,14,13
ATL,2023-05-25,45,"{2: 18, 9: 7, 7: 4, 8: 4, 5: 2}","{'line_drive': 11, 'fly_ball': 6, 'ground_ball': 6}","{Interval(100.0, 110.0, closed='right'): 8, Interval(90.0, 100.0, closed='right'): 7, Interval(80.0, 90.0, closed='right'): 3, Interval(110.0, inf, closed='right'): 3, Interval(0.0, 80.0, closed='right'): 2}","{Interval(15.0, 45.0, closed='right'): 12, Interval(0.0, 15.0, closed='right'): 6, Interval(-15.0, 0.0, closed='right'): 5, Interval(-90.0, -15.0, closed='right'): 0, Interval(45.0, inf, closed='right'): 0}",0.6342608695652174,0.4924802666666666,30.4,18,19
ATL,2023-05-26,34,"{2: 7, 8: 7, 7: 4, 9: 2, 5: 1, 6: 1, 4: 1}","{'line_drive': 9, 'ground_ball': 5, 'fly_ball': 4}","{Interval(100.0, 110.0, closed='right'): 10, Interval(80.0, 90.0, closed='right'): 3, Interval(90.0, 100.0, closed='right'): 3, Interval(0.0, 80.0, closed='right'): 2, Interval(110.0, inf, closed='right'): 0}","{Interval(15.0, 45.0, closed='right'): 8, Interval(0.0, 15.0, closed='right'): 6, Interval(-15.0, 0.0, closed='right'): 4, Interval(-90.0, -15.0, closed='right'): 0, Interval(45.0, inf, closed='right'): 0}",0.5356111111111111,0.5280919705882353,26.8,16,12
ATL,2023-05-27,47,"{2: 29, 7: 8, 8: 2, 9: 2}","{'line_drive': 10, 'ground_ball': 2, 'fly_ball': 1}","{Interval(100.0, 110.0, closed='right'): 8, Interval(80.0, 90.0, closed='right'): 2, Interval(0.0, 80.0, closed='right'): 1, Interval(90.0, 100.0, closed='right'): 1, Interval(110.0, inf, closed='right'): 1}","{Interval(0.0, 15.0, closed='right'): 8, Interval(15.0, 45.0, closed='right'): 3, Interval(-15.0, 0.0, closed='right'): 2, Interval(-90.0, -15.0, closed='right'): 0, Interval(45.0, inf, closed='right'): 0}",0.678,0.2674577659574468,18.05,12,8
ATL,2023-05-28,43,"{2: 14, 8: 9, 7: 7, 9: 2, 5: 1, 4: 1}","{'ground_ball': 11, 'fly_ball': 8, 'line_drive': 7}","{Interval(100.0, 110.0, closed='right'): 10, Interval(90.0, 100.0, closed='right'): 6, Interval(110.0, inf, closed='right'): 5, Interval(80.0, 90.0, closed='right'): 3, Interval(0.0, 80.0, closed='right'): 2}","{Interval(0.0, 15.0, closed='right'): 12, Interval(15.0, 45.0, closed='right'): 9, Interval(-15.0, 0.0, closed='right'): 3, Interval(-90.0, -15.0, closed='right'): 2, Interval(45.0, inf, closed='right'): 0}",0.610423076923077,0.5080397441860465,33.1,21,21
ATL,2023-06-06,35,"{2: 16, 7: 4, 9: 3, 8: 2, 5: 1, 4: 1}","{'line_drive': 6, 'ground_ball': 4, 'fly_ball': 4}","{Interval(90.0, 100.0, closed='right'): 5, Interval(100.0, 110.0, closed='right'): 4, Interval(0.0, 80.0, closed='right'): 2, Interval(110.0, inf, closed='right'): 2, Interval(80.0, 90.0, closed='right'): 1}","{Interval(15.0, 45.0, closed='right'): 7, Interval(0.0, 15.0, closed='right'): 5, Interval(-90.0, -15.0, closed='right'): 1, Interval(-15.0, 0.0, closed='right'): 1, Interval(45.0, inf, closed='right'): 0}",0.5672857142857143,0.38930042857142855,20.45,11,12
ATL,2023-06-07,44,"{2: 20, 8: 4, 9: 3, 6: 2, 7: 2, 5: 1, 1: 1}","{'ground_ball': 8, 'line_drive': 7, 'fly_ball': 5}","{Interval(100.0, 110.0, closed='right'): 8, Interval(0.0, 80.0, closed='right'): 5, Interval(90.0, 100.0, closed='right'): 4, Interval(110.0, inf, closed='right'): 3, Interval(80.0, 90.0, closed='right'): 0}","{Interval(15.0, 45.0, closed='right'): 8, Interval(-90.0, -15.0, closed='right'): 5, Interval(0.0, 15.0, closed='right'): 5, Interval(-15.0, 0.0, closed='right'): 2, Interval(45.0, inf, closed='right'): 0}",0.5663,0.43062313636363636,28.0,16,16
ATL,2023-06-08,65,"{2: 22, 8: 8, 9: 7, 7: 6, 5: 2, 1: 1, 4: 1}","{'line_drive': 15, 'fly_ball': 9, 'ground_ball': 9}","{Interval(100.0, 110.0, closed='right'): 18, Interval(90.0, 100.0, closed='right'): 7, Interval(80.0, 90.0, closed='right'): 4, Interval(0.0, 80.0, closed='right'): 3, Interval(110.0, inf, closed='right'): 1}","{Interval(0.0, 15.0, closed='right'): 15, Interval(15.0, 45.0, closed='right'): 13, Interval(-15.0, 0.0, closed='right'): 3, Interval(-90.0, -15.0, closed='right'): 2, Interval(45.0, inf, closed='right'): 0}",0.6591818181818182,0.5013235384615384,46.55,25,27
ATL,2023-06-09,35,"{2: 15, 9: 4, 8: 4, 6: 3, 1: 2, 7: 1}","{'ground_ball': 8, 'line_drive': 5, 'fly_ball': 1}","{Interval(0.0, 80.0, closed='right'): 6, Interval(100.0, 110.0, closed='right'): 4, Interval(90.0, 100.0, closed='right'): 3, Interval(110.0, inf, closed='right'): 1, Interval(80.0, 90.0, closed='right'): 0}","{Interval(-15.0, 0.0, closed='right'): 4, Interval(0.0, 15.0, closed='right'): 4, Interval(15.0, 45.0, closed='right'): 4, Interval(-90.0, -15.0, closed='right'): 2, Interval(45.0, inf, closed='right'): 0}",0.4446428571428572,0.2900976571428571,17.15,14,1
