season,game_date,home_team,away_team,pitch_type_counts,speed_bucket_counts,avg_release_speed,max_release_speed,total_pitches
2023,2023-08-08,NYM,CHC,"{'FF': 105, 'CH': 38, 'FC': 31, 'SL': 28, 'CU': 27, 'SI': 21, 'ST': 15}","{'90-100': 129, '80-90': 110, '<80': 25, '100+': 1}",89.12905660377359,100.1,265
2023,2023-08-08,OAK,TEX,"{'FF': 82, 'CH': 56, 'SL': 53, 'SI': 53, 'ST': 15, 'CU': 9, 'FC': 8}","{'90-100': 136, '80-90': 130, '<80': 10}",88.39166666666667,96.6,276
2023,2023-08-08,PHI,WSH,"{'FF': 176, 'SL': 119, 'SI': 105, 'CU': 69, 'CH': 55, 'FC': 44, 'ST': 26, 'FS': 11, 'KC': 11}","{'80-90': 309, '90-100': 252, '<80': 55}",88.1896103896104,99.5,616
2023,2023-08-08,PIT,ATL,"{'SI': 81, 'FF': 69, 'FS': 40, 'SL': 35, 'ST': 32, 'FC': 27, 'CH': 23, 'CU': 20}","{'90-100': 185, '80-90': 126, '<80': 16}",90.2125382262997,99.0,327
2023,2023-08-08,SEA,SD,"{'FF': 85, 'SL': 50, 'CU': 40, 'SI': 39, 'CH': 24, 'FS': 21, 'KC': 13, 'FC': 3}","{'90-100': 132, '80-90': 117, '<80': 26}",89.47745454545455,99.1,275
2023,2023-08-08,TB,STL,"{'FF': 58, 'SI': 49, 'SL': 42, 'CU': 33, 'FC': 26, 'CH': 23, 'ST': 14, 'CS': 1}","{'90-100': 111, '80-90': 94, '<80': 38, '100+': 3}",88.64959349593495,100.2,246
2023,2023-08-09,AZ,LAD,"{'FF': 91, 'SL': 58, 'CH': 32, 'CU': 30, 'SI': 18, 'FC': 15, 'ST': 6, 'FS': 3, 'KC': 2}","{'90-100': 130, '80-90': 115, '100+': 9, '<80': 1}",90.74000000000001,101.0,255
2023,2023-08-09,BAL,HOU,"{'FF': 163, 'SL': 100, 'KC': 38, 'CH': 14, 'SI': 13, 'FS': 11, 'FC': 9, 'ST': 7, 'CU': 1}","{'90-100': 176, '80-90': 133, '<80': 36, '100+': 11}",89.56741573033707,101.3,356
2023,2023-08-09,BOS,KC,"{'FF': 81, 'FC': 57, 'ST': 34, 'CU': 33, 'CH': 20, 'SI': 12, 'SL': 8}","{'90-100': 114, '80-90': 109, '<80': 22}",88.42734693877551,99.0,245
2023,2023-08-09,CIN,MIA,"{'SL': 83, 'FF': 62, 'FC': 52, 'SI': 52, 'CH': 18, 'ST': 9, 'KC': 6, 'CU': 1}","{'90-100': 176, '80-90': 104, '<80': 2, '100+': 1}",91.74169611307421,100.3,283
2023,2023-08-09,CLE,TOR,"{'FF': 113, 'FS': 47, 'SL': 29, 'CH': 26, 'ST': 22, 'SI': 11, 'CU': 7, 'FC': 1}","{'90-100': 117, '80-90': 110, '<80': 28, '100+': 1}",87.91015625,100.9,256
2023,2023-08-09,CWS,NYY,"{'SL': 91, 'FF': 67, 'CH': 60, 'SI': 44, 'FC': 16, 'ST': 11, 'KC': 3}","{'90-100': 129, '80-90': 126, '<80': 35, '100+': 2}",89.07397260273972,100.6,292
2023,2023-08-09,DET,MIN,"{'FF': 138, 'SL': 80, 'CH': 45, 'CU': 18, 'FC': 13, 'ST': 8, 'SI': 3, 'FS': 2}","{'80-90': 157, '90-100': 140, '<80': 10}",87.83485342019544,97.7,307
2023,2023-08-09,LAA,SF,"{'FF': 115, 'ST': 71, 'SL': 37, 'KC': 12, 'CU': 9, 'FC': 9, 'FS': 7, 'SI': 7, 'CH': 6}","{'80-90': 133, '90-100': 125, '<80': 13, '100+': 2}",89.21135531135532,100.7,273
2023,2023-08-09,MIL,COL,"{'FF': 114, 'SL': 51, 'SI': 49, 'FC': 40, 'CH': 28, 'ST': 14, 'CU': 5, 'SV': 1}","{'90-100': 168, '80-90': 108, '<80': 26}",88.86688741721854,99.8,302
2023,2023-08-09,NYM,CHC,"{'SI': 83, 'FF': 79, 'CH': 57, 'SL': 29, 'CU': 27, 'ST': 22, 'FC': 19, 'FS': 3}","{'80-90': 177, '90-100': 122, '<80': 20}",87.42476489028213,98.0,319
2023,2023-08-09,OAK,TEX,"{'FF': 63, 'CH': 49, 'SL': 48, 'SI': 47, 'CU': 34, 'FC': 9}","{'80-90': 129, '90-100': 112, '<80': 9}",88.81,97.7,250
2023,2023-08-09,PHI,WSH,"{'FF': 106, 'CH': 52, 'SL': 45, 'KC': 25, 'CU': 13, 'SI': 11, 'ST': 8}","{'80-90': 143, '90-100': 117}",88.66153846153846,96.5,260
2023,2023-08-09,PIT,ATL,"{'FF': 87, 'SL': 67, 'SI': 51, 'CU': 47, 'ST': 42, 'CH': 31, 'FC': 29, 'KC': 6}","{'80-90': 175, '90-100': 161, '<80': 24}",88.45277777777778,98.2,360
2023,2023-08-09,SEA,SD,"{'FF': 98, 'SL': 59, 'ST': 51, 'SI': 44, 'CH': 27, 'CU': 8, 'KC': 6, 'FC': 6, 'FS': 4}","{'90-100': 151, '80-90': 130, '<80': 22}",88.83135313531353,99.6,303
2023,2023-08-09,TB,STL,"{'SI': 78, 'FF': 57, 'SL': 48, 'CH': 35, 'ST': 27, 'FC': 21, 'FS': 2}","{'90-100': 144, '80-90': 103, '<80': 21}",88.8410447761194,97.2,268
2023,2023-08-10,BAL,HOU,"{'FF': 89, 'FC': 66, 'SI': 35, 'SL': 17, 'CH': 16, 'KC': 13, 'CU': 11, 'FS': 8, 'ST': 4}","{'90-100': 149, '80-90': 90, '<80': 11, '100+': 9}",91.02509652509653,102.4,259
2023,2023-08-10,BOS,KC,"{'FF': 132, 'ST': 31, 'FC': 30, 'CH': 23, 'KC': 22, 'CU': 20, 'SI': 15, 'SL': 10, 'FS': 3}","{'90-100': 154, '80-90': 124, '<80': 8}",89.4013986013986,97.8,286
2023,2023-08-10,CLE,TOR,"{'FF': 103, 'SL': 74, 'SI': 49, 'CH': 25, 'CU': 23, 'FC': 12, 'FS': 12}","{'90-100': 158, '80-90': 108, '<80': 32}",88.59731543624162,99.9,298
2023,2023-08-10,DET,MIN,"{'FF': 90, 'SL': 56, 'SI': 36, 'FS': 31, 'CH': 20, 'CU': 18, 'ST': 18}","{'90-100': 132, '80-90': 126, '<80': 8, '100+': 3}",89.16468401486989,102.4,269
2023,2023-08-10,LAD,COL,"{'SI': 65, 'FF': 48, 'SL': 44, 'FC': 42, 'CU': 25, 'CH': 19, 'FS': 3}","{'80-90': 128, '90-100': 87, '<80': 31}",87.23821138211382,99.4,246
2023,2023-08-10,PHI,WSH,"{'SI': 93, 'FF': 70, 'SL': 69, 'KC': 49, 'CH': 28, 'ST': 1, 'FC': 1}","{'90-100': 147, '80-90': 130, '<80': 34}",87.89871382636656,99.1,311
2023,2023-08-10,PIT,ATL,"{'SI': 96, 'FF': 62, 'SL': 56, 'ST': 28, 'FC': 23, 'CH': 17, 'CU': 14, 'FS': 1}","{'80-90': 161, '90-100': 121, '<80': 15}",87.98417508417508,98.7,297
2023,2023-08-10,TB,STL,"{'SI': 57, 'FF': 53, 'SL': 46, 'CH': 41, 'CU': 18, 'FC': 11, 'ST': 10, 'FS': 9}","{'80-90': 117, '90-100': 103, '<80': 25}",88.65020408163265,96.7,245
2023,2023-08-11,AZ,SD,"{'FF': 140, 'CU': 50, 'CH': 44, 'SL': 34, 'FC': 24, 'ST': 23, 'FS': 14, 'SI': 13, 'KC': 4}","{'90-100': 163, '80-90': 142, '<80': 41}",88.19017341040463,98.3,346
2023,2023-08-11,BOS,DET,"{'FF': 103, 'SL': 98, 'CH': 34, 'SI': 27, 'CU': 15, 'KC': 6, 'ST': 5, 'FC': 4}","{'90-100': 141, '80-90': 107, '<80': 44}",88.41575342465754,98.9,292
2023,2023-08-11,CWS,MIL,"{'FF': 74, 'FC': 73, 'SL': 71, 'SI': 51, 'CH': 30, 'CU': 26, 'ST': 23, 'KC': 8}","{'90-100': 209, '80-90': 120, '<80': 22, '100+': 5}",89.97247191011236,100.8,356
2023,2023-08-11,HOU,LAA,"{'FF': 132, 'CH': 51, 'SL': 50, 'CU': 32, 'FC': 13, 'SI': 7}","{'90-100': 143, '80-90': 110, '<80': 32}",88.42456140350878,98.5,285
2023,2023-08-11,KC,STL,"{'FF': 123, 'SL': 77, 'CU': 48, 'SI': 30, 'CH': 15, 'ST': 14, 'FC': 12, 'KC': 1}","{'90-100': 141, '80-90': 134, '<80': 45}",87.7875,98.2,320
2023,2023-08-11,LAD,COL,"{'FF': 106, 'SI': 43, 'SL': 37, 'CU': 36, 'FC': 33, 'ST': 21, 'CH': 16, 'KC': 8}","{'80-90': 151, '90-100': 133, '<80': 16}",88.41366666666666,97.8,300
2023,2023-08-11,MIA,NYY,"{'FF': 90, 'SL': 76, 'CH': 61, 'SI': 49, 'FC': 13, 'CU': 7, 'ST': 4, 'KC': 3}","{'80-90': 152, '90-100': 149, '<80': 2}",90.75049504950495,99.2,303
2023,2023-08-11,NYM,ATL,"{'FF': 99, 'CU': 64, 'CH': 43, 'SI': 34, 'ST': 31, 'FC': 14, 'SL': 13, 'FS': 11}","{'80-90': 159, '90-100': 136, '<80': 14}",88.56181229773462,98.5,309
2023,2023-08-11,PHI,MIN,"{'SL': 87, 'SI': 72, 'CH': 69, 'FF': 57, 'FC': 24, 'EP': 9, 'FA': 2, 'FS': 2, 'CU': 2}","{'80-90': 154, '90-100': 124, '<80': 46}",85.99506172839507,97.8,324
2023,2023-08-11,PIT,CIN,"{'FF': 137, 'SL': 47, 'CH': 45, 'CU': 34, 'SI': 22, 'ST': 12, 'KC': 7, 'FC': 4}","{'90-100': 165, '80-90': 134, '<80': 9}",89.70551948051948,98.0,308
2023,2023-08-11,SEA,BAL,"{'FF': 75, 'SI': 52, 'CH': 39, 'SL': 35, 'FC': 27, 'ST': 26, 'CU': 12}","{'90-100': 137, '80-90': 122, '<80': 7}",90.22293233082706,99.2,266
2023,2023-08-11,SF,TEX,"{'SL': 86, 'FF': 80, 'SI': 45, 'CH': 24, 'ST': 8, 'KC': 7, 'CU': 5}","{'90-100': 122, '80-90': 112, '<80': 18, '100+': 3}",89.44509803921568,101.0,255
2023,2023-08-11,TB,CLE,"{'FF': 118, 'SL': 57, 'FC': 38, 'CH': 36, 'CU': 22, 'SI': 15, 'ST': 14, 'FS': 6}","{'80-90': 154, '90-100': 120, '<80': 30, '100+': 2}",88.34738562091503,100.1,306
2023,2023-08-11,TOR,CHC,"{'FF': 89, 'SI': 58, 'SL': 28, 'FC': 27, 'SV': 25, 'ST': 19, 'CU': 18, 'CH': 14}","{'90-100': 151, '80-90': 103, '<80': 24}",89.08381294964029,97.1,278
2023,2023-08-11,WSH,OAK,"{'FF': 88, 'CU': 52, 'SL': 45, 'SI': 33, 'CH': 30, 'FC': 22, 'KC': 13, 'FS': 11}","{'90-100': 129, '80-90': 129, '<80': 36}",88.19013605442177,98.2,294
2023,2023-08-12,AZ,SD,"{'FF': 83, 'CU': 41, 'CH': 36, 'FC': 33, 'KC': 29, 'SI': 21, 'SL': 14, 'ST': 13, 'CS': 1}","{'80-90': 142, '90-100': 80, '<80': 49}",85.69667896678966,98.8,271
2023,2023-08-12,BOS,DET,"{'FF': 106, 'SI': 72, 'CH': 46, 'SL': 35, 'ST': 28, 'CU': 23, 'FC': 13}","{'90-100': 182, '80-90': 109, '<80': 32}",89.47275541795666,98.6,323
2023,2023-08-12,CWS,MIL,"{'FF': 95, 'SL': 52, 'CH': 38, 'CU': 32, 'SI': 30, 'FC': 7, 'ST': 4}","{'90-100': 124, '80-90': 111, '<80': 23}",88.39031007751939,97.1,258
2023,2023-08-12,HOU,LAA,"{'FF': 110, 'CH': 54, 'FC': 50, 'SL': 28, 'CU': 13, 'SI': 11, 'FS': 7, 'ST': 4}","{'80-90': 129, '90-100': 122, '<80': 26}",87.7158844765343,99.0,277
2023,2023-08-12,KC,STL,"{'SI': 69, 'CH': 62, 'SL': 56, 'FF': 56, 'CU': 19, 'ST': 13, 'KC': 13, 'FC': 9, 'FS': 1}","{'80-90': 145, '90-100': 128, '<80': 18, '100+': 7}",89.00033557046979,100.9,298
2023,2023-08-12,LAD,COL,"{'FF': 105, 'SL': 48, 'FS': 23, 'CU': 18, 'SI': 12, 'ST': 11, 'CH': 10, 'FC': 9}","{'90-100': 124, '80-90': 100, '<80': 12}",89.25762711864407,99.5,236
